NAMA MESIN,KATEGORI,DESCRIPTION SPAREPART,PART NUMBER,QTY,NO. IN MANUAL BOOK,KATEGORI,DOCUMENT,SUPPLIER,NAMA,KONTAK,EMAIL,ALAMAT,,,,,
,,trapezoidal thread nut Ø62x36,4.4304.1360,3,29,,5.4304.0604,,,,,,,,,,
,,adjustment spindle with square Tr30x6x390,4.4304.1394,1,30,,5.4304.0604,,,,,,,,,,
,,adjustment spindle Tr30x6x305,4.4304.1395,2,31,,5.4304.0604,,,,,,,,,,
,,torsion safety device 3x50x127,4.4304.0897,1,32,,5.4304.0604,,,,,,,,,,
,,distance holder Ø60x25,4.4304.0898,1,33,,5.4304.0604,,,,,,,,,,
,,"sprocket disc 3/8""x7/32""; Z=26",4.4304.0899,2,34,,5.4304.0604,,,,,,,,,,
,,"clamping sprocket 3/8""x7/32""; Z=26",4.4304.0900,2,35,,5.4304.0604,,,,,,,,,,
,,"carrier chain guide, middle",4.4304.0904,2,36,,5.4304.0604,,,,,,,,,,
,,"carrier chain guide, bottom",4.4304.0978,1,37,,5.4304.0604,,,,,,,,,,
,,carrier shaft short,4.4304.0889,1,38,,5.4304.0604,,,,,,,,,,
,,carrier shaft middle,4.4304.1284,1,39,,5.4304.0604,,,,,,,,,,
,,"middle wall 10""/L - fix side HK-II-B",4.4304.1720,1,40,,5.4304.0604,,,,,,,,,,
,,"middle wall 10""/L - adjustment side HK-II-B",4.4304.1721,1,41,,5.4304.0604,,,,,,,,,,
,,holder middle wall - fix side,4.4304.1558,1,42,,5.4304.0604,,,,,,,,,,
,,distance ring adjustment shaft,4.4304.1302,3,43,,5.4304.0604,,,,,,,,,,
,,chain tensioner,4.4304.1361,5,44,,5.4304.0604,,,,,,,,,,
,,"washer Ø40 Ø6,5",4.0002.0014,1,45,,5.4304.0604,,,,,,,,,,
,,bearing holder,4.4304.1559,1,46,,5.4304.0604,,,,,,,,,,
,,distance ledge,4.4301.0417,1,47,,5.4304.0604,,,,,,,,,,
,,flange bearing FJUMT 01 30,3.0001.2247,3,100,,5.4304.0604,,,,,,,,,,
,,flange bearing EFSM 20,3.0001.2245,3,101,,5.4304.0604,,,,,,,,,,
,,digital display DA09-02-60-1-E,3.0000.4813,1,102,,5.4304.0604,,,,,,,,,,
,,"tensioning sprocket 1/2""x5/16"" Z=16",3.0000.1643,2,103,,5.4304.0604,,,,,,,,,,
,,"roller chain 1/2x5/16"" (p=12,7) SZ
incl. closing link",3.0000.0738,"1.955,80",104,,5.4304.0604,,,,,,,,,,
,,"connecting link 1/2x5/16"" single roller chain",3.0000.4900,2,105,,5.4304.0604,,,,,,,,,,
,,grooved ball bearing 6005-2RS,3.0000.0492,4,106,,5.4304.0604,,,,,,,,,,
,,grooved ball bearing 6010-2RS,3.0000.0494,6,107,,5.4304.0604,,,,,,,,,,
,,guard ring A 16,3.0000.4301,2,108,,5.4304.0604,,,,,,,,,,
,,guard ring A 20,3.0000.4300,3,109,,5.4304.0604,,,,,,,,,,
,,guard ring A 25,3.0000.0158,4,110,,5.4304.0604,,,,,,,,,,
,,guard ring A 50,3.0000.0172,4,111,,5.4304.0604,,,,,,,,,,
,,guard ring I 47,3.0000.0170,4,112,,5.4304.0604,,,,,,,,,,
,,guard ring I 80,3.0000.0178,2,113,,5.4304.0604,,,,,,,,,,
,,fitting key 8x7x25,3.0000.0061,1,114,,5.4304.0604,,,,,,,,,,
,,"roller chain 3/8""x7/32 SZ",3.0000.0736,"2.809,80",115,,5.4304.0604,,,,,,,,,,
,,"connecting link 3/8x7/32""",3.0000.0837,2,116,,5.4304.0604,,,,,,,,,,
,,"roller chain 3/8""x7/32 SZ",3.0000.0736,"4.486,20",117,,5.4304.0604,,,,,,,,,,
,,ball joint bearing 2202-2RS,3.0000.0555,1,118,,5.4304.0604,,,,,,,,,,
,"insertion conveyor chain 10"", 12 pushers","roller chain (12x 228,6)x2",3.0001.1156,"5.486,40 mm",100,,5.4306.0144,,,,,,,,,,
,,plug link riveted 208B-2 VN,3.0001.4199,24,101,,5.4306.0144,,,,,,,,,,
,,"chain bolt 208 B-2AS BO 4,45x",3.0000.0669,48,102,,5.4306.0144,,,,,,,,,,
,,intermediate flap Lash 1603 L SZ,3.0000.9041,48,103,,5.4306.0144,,,,,,,,,,
,"insertion conveyor HK-II 10""/L",side wall insertion conveyor 80x40x10x1211,4.4306.1118,2,1,,5.4306.0215,,,,,,,,,,
,,side wall insertion conveyor 80x40x10x1211,4.4306.1117,2,2,,5.4306.0215,,,,,,,,,,
,,crossbeam 60x20x152,4.4306.0982,3,3,,5.4306.0215,,,,,,,,,,
,,crossbeam I 50x20x720,4.4306.1119,2,4,,5.4306.0215,,,,,,,,,,
,,crossbeam II 50x20x720,4.4306.1113,2,5,,5.4306.0215,,,,,,,,,,
,,crossbeam III 50x20x720,4.4306.1120,2,6,,5.4306.0215,,,,,,,,,,
,,crossbeam for bearing shaft and chain tensioner 120x20x152,4.4306.1111,1,7,,5.4306.0215,,,,,,,,,,
,,crossbeam for bearing shaft 50x30x162,4.4306.1110,1,8,,5.4306.0215,,,,,,,,,,
,,crossbeam for bearing shaft support 60x20x152,4.4306.0952,1,9,,5.4306.0215,,,,,,,,,,
,,crossbeam for bearing shaft support 80x20x152,4.4306.1112,1,10,,5.4306.0215,,,,,,,,,,
,,"carrier shaft Ø30x482,5",4.4306.0780,1,11,,5.4306.0215,,,,,,,,,,
,,"carrier shaft II Ø30x1125,5",4.4306.1108,1,12,,5.4306.0215,,,,,,,,,,
,, chain guide 30x24x1066,4.4306.0972,2,13,,5.4306.0215,,,,,,,,,,
,, chain guide 30x24x1067,4.4306.0973,2,14,,5.4306.0215,,,,,,,,,,
,,tension bearing 60x15x120,4.4306.0004,2,15,,5.4306.0215,,,,,,,,,,
,,"bearing plate, drive 130x20x152",4.4306.1064,1,16,,5.4306.0215,,,,,,,,,,
,,plate for bearing flange 130x20x152,4.4306.1065,1,17,,5.4306.0215,,,,,,,,,,
,,distance chain tensioner 50x40x60,4.4306.0955,1,18,,5.4306.0215,,,,,,,,,,
,,bearing plate deflection 130x15x152,4.4306.0946,2,19,,5.4306.0215,,,,,,,,,,
,,insertion curve 27x597x1065,4.4306.1330,1,21,,5.4306.0215,,,,,,,,,,
,,"return curve 27x416,5x1065",4.4306.1331,1,22,,5.4306.0215,,,,,,,,,,
,,"guide rail insertion 27x57x857,5",4.4306.1115,2,23,,5.4306.0215,,,,,,,,,,
,,mounting plate return curve 50x10x225,4.4306.1122,1,24,,5.4306.0215,,,,,,,,,,
,,"deflection, drive 180x15x250",4.4306.0483,2,25,,5.4306.0215,,,,,,,,,,
,,distance Ø20x27,4.4306.0038,6,26,,5.4306.0215,,,,,,,,,,
,,"deflection, drive I 180x15x250",4.4306.0872,1,27,,5.4306.0215,,,,,,,,,,
,,"deflection, drive I 180x15x251",4.4306.0639,1,28,,5.4306.0215,,,,,,,,,,
,,"distance, deflection Ø100x57",4.4306.0040,1,29,,5.4306.0215,,,,,,,,,,
,,deflection tensioning side 180x15x250,4.4306.0041,2,30,,5.4306.0215,,,,,,,,,,
,,holder deflector 60x20x70,4.4306.0168,1,31,,5.4306.0215,,,,,,,,,,
,,motor support II 120x20x196,4.4306.1116,4,32,,5.4306.0215,,,,,,,,,,
,,distance 25x23x135,4.4306.0867,4,33,,5.4306.0215,,,,,,,,,,
,,support II 20x20x195,4.4306.0632,4,34,,5.4306.0215,,,,,,,,,,
,,cross ledge I 40x20x720,4.4306.1114,2,35,,5.4306.0215,,,,,,,,,,
,,mounting plate deflector 120x10x400,4.4306.1329,1,36,,5.4306.0215,,,,,,,,,,
,,tension shaft insertion Ø30x770,4.4306.0863,1,37,,5.4306.0215,,,,,,,,,,
,,"drive shaft, insertion unit II Ø35x672",4.4306.1145,1,38,,5.4306.0215,,,,,,,,,,
,,"drive shaft, insertion unit III SW36x875",4.4306.1146,1,39,,5.4306.0215,,,,,,,,,,
,,"drive shaft, insertion unit Ø30x469",4.4306.0864,1,40,,5.4306.0215,,,,,,,,,,
,,lock guide siehe Zeichnung,4.4306.1164,1,41,,5.4306.0215,,,,,,,,,,
,,flap for lock guide 70x10x80,4.4306.1167,1,42,,5.4306.0215,,,,,,,,,,
,,shaft coupling Ø55x80,4.4306.0238,1,43,,5.4306.0215,,,,,,,,,,
,,sprocket hub Ø120x32,4.4307.0585,2,44,,5.4306.0215,,,,,,,,,,
,,"sprocket disc hub, tensioning side Ø90x28",4.4307.0037,2,45,,5.4306.0215,,,,,,,,,,
,,"sprocket disc, insertion unit top, deflection I siehe Zeichn.",4.4306.0194,2,46,,5.4306.0215,,,,,,,,,,
,,"sprocket disc, insertion unit top, drive I",4.4306.0196,2,47,,5.4306.0215,,,,,,,,,,
,,washer Ø40 Ø40x5,4.0002.0014,1,48,,5.4306.0215,,,,,,,,,,
,,servo synchron motor,3.0001.2933,2,100,,5.4306.0215,,,,,,,,,,
,,bevel spur gear,3.0001.4807,2,101,,5.4306.0215,,,,,,,,,,
,,flange bearing,3.0000.0368,1,102,,5.4306.0215,,,,,,,,,,
,,grooved ball bearing,3.0000.0493,4,103,,5.4306.0215,,,,,,,,,,
,,guard ring,3.0000.0289,4,105,,5.4306.0215,,,,,,,,,,
,,guard ring,3.0000.0288,2,106,,5.4306.0215,,,,,,,,,,
,,fitting key,3.0000.4291,2,108,,5.4306.0215,,,,,,,,,,
,,fitting key,3.0000.0283,2,109,,5.4306.0215,,,,,,,,,,
,,fitting key,3.0000.9023,2,110,,5.4306.0215,,,,,,,,,,
,,grate cable tray 80x50,2.0000.1477,"300,00",111,,5.4306.0215,,,,,,,,,,
,intermediate cassette conveyor HK-II,"profile intermediate cassette conveyor 76,5x50x1190",4.4307.2214,2,1,,5.4307.0326,,,,,,,,,,
,,chain guide cable intermediate cassette conveyor 24x50x995,4.4307.2215,2,2,,5.4307.0326,,,,,,,,,,
,,crossbeam for sprocket disk 60x20x162,4.4307.1348,2,3,,5.4307.0326,,,,,,,,,,
,,traverse holder intermediate cassette conveyor 50x20x162,4.4307.2189,2,4,,5.4307.0326,,,,,,,,,,
,,"bearing plate intermediate cassette conveyer 27,5x130x187",4.4307.2182,1,5,,5.4307.0326,,,,,,,,,,
,,plate for deflection 15x144x250,4.4307.2183,1,6,,5.4307.0326,,,,,,,,,,
,,crossbeam for bearing shaft intermediate cassette conveyor 50x15x267,4.4307.2184,2,7,,5.4307.0326,,,,,,,,,,
,,holder intermediate cassette conveyor 77x20x135,4.4307.2190,2,8,,5.4307.0326,,,,,,,,,,
,,"bolt for clamping wheel Ø30x41,5",4.4105.0029,2,9,,5.4307.0326,,,,,,,,,,
,,washer Ø40 Ø40x5,4.0002.0014,2,10,,5.4307.0326,,,,,,,,,,
,,"sprocket disc hub Ø90x16,7",4.4304.0057,2,11,,5.4307.0326,,,,,,,,,,
,,tension bearing (middle wall) 55x55x48,4.4304.0368,1,12,,5.4307.0326,,,,,,,,,,
,,distance Ø18x10,4.4304.0371,1,13,,5.4307.0326,,,,,,,,,,
,,"sprocket disc, insertion unit top, deflection I",4.4306.0194,2,14,,5.4307.0326,,,,,,,,,,
,,"sprocket disc, drive",4.4307.2173,2,15,,5.4307.0326,,,,,,,,,,
,,"sprocket disc, z=40",4.4307.2177,1,16,,5.4307.0326,,,,,,,,,,
,,sprocket disc adjustment z=40,4.4307.2179,1,17,,5.4307.0326,,,,,,,,,,
,,bearing hub intermediate cassette conveyor Ø147x35,4.4307.2180,1,18,,5.4307.0326,,,,,,,,,,
,,sprocket hub intermediate cassette conveyor Ø142x25,4.4307.2181,1,19,,5.4307.0326,,,,,,,,,,
,,bearing plate drive sprocket 100x30x162,4.4307.2185,1,20,,5.4307.0326,,,,,,,,,,
,,hexagon shaft hub Ø80x60,4.4307.2186,1,21,,5.4307.0326,,,,,,,,,,
,,distance piece intermediate conveyor 50x20x57,4.4307.2218,4,22,,5.4307.0326,,,,,,,,,,
,,nut cover ledge 30x5x1065,4.4307.2392,1,23,,5.4307.0326,,,,,,,,,,
,,grooved ball bearing,3.0000.0492,2,100,,5.4307.0326,,,,,,,,,,
,,grooved ball bearing,3.0000.0494,2,101,,5.4307.0326,,,,,,,,,,
,,grooved ball bearing,3.0000.0495,1,102,,5.4307.0326,,,,,,,,,,
,,tensioning sprocket,3.0000.1643,2,103,,5.4307.0326,,,,,,,,,,
,,guard ring,3.0000.0156,2,104,,5.4307.0326,,,,,,,,,,
,,guard ring,3.0000.0159,2,105,,5.4307.0326,,,,,,,,,,
,,guard ring,3.0000.0173,1,106,,5.4307.0326,,,,,,,,,,
,,guard ring,3.0000.4834,1,107,,5.4307.0326,,,,,,,,,,
,,guard ring,3.0000.0169,2,108,,5.4307.0326,,,,,,,,,,
,,guard ring,3.0000.1649,1,109,,5.4307.0326,,,,,,,,,,
,,"roller chain 2x 3022,6mm",3.0001.1094,"6.045,20",110,,5.4307.0326,,,,,,,,,,
,,"connecting link, 1"" duplex",3.0000.0842,2,111,,5.4307.0326,,,,,,,,,,
,,roller chain,3.0000.0738,"2.006,60",112,,5.4307.0326,,,,,,,,,,
,,"connecting link 1/2x5/16""",3.0000.4900,1,113,,5.4307.0326,,,,,,,,,,
,"cassette conveyor central adjustment 10""/L, drive part duplex","profile, up, outer side 76,5x50x1400",4.4307.2497,1,1,,5.4307.0401,,,,,,,,,,
,,"profile, bottom, outer side 76,5x50x1400",4.4307.2498,1,2,,5.4307.0401,,,,,,,,,,
,,"profile, up, inner side 76,5x50x1400",4.4307.2499,1,3,,5.4307.0401,,,,,,,,,,
,,"profile, bottom, inner side 76,5x50x1400",4.4307.2500,1,4,,5.4307.0401,,,,,,,,,,
,,drive sprocket cassette conveyor 20x130x187,4.4307.2174,2,5,,5.4307.0401,,,,,,,,,,
,,sprocket hub Ø147x52,4.4307.2172,2,6,,5.4307.0401,,,,,,,,,,
,,"sprocket disc, drive",4.4307.2173,4,7,,5.4307.0401,,,,,,,,,,
,,"sprocket disc, z=40",4.4307.2177,2,8,,5.4307.0401,,,,,,,,,,
,,"flange, sprocket disc Ø142x27",4.4307.2176,2,9,,5.4307.0401,,,,,,,,,,
,,bearing hub Ø75x25,4.4307.2175,2,10,,5.4307.0401,,,,,,,,,,
,,"distance ring Ø75x6,9",4.4307.2178,2,11,,5.4307.0401,,,,,,,,,,
,,bearing plate drive sprocket 100x30x162,4.4307.2185,2,12,,5.4307.0401,,,,,,,,,,
,,hexagon shaft hub Ø80x60,4.4307.2186,2,13,,5.4307.0401,,,,,,,,,,
,,sprocket disc adjustment z=40,4.4307.2179,2,14,,5.4307.0401,,,,,,,,,,
,,"bolt for clamping wheel Ø30x41,5",4.4105.0029,4,15,,5.4307.0401,,,,,,,,,,
,,distance insertion conveyor II 60x40x41,4.4307.0750,1,16,,5.4307.0401,,,,,,,,,,
,,chain guide 24x48x1145,4.4307.2705,1,17,,5.4307.0401,,,,,,,,,,
,,chain guide 24x56x1040,4.4307.2242,1,18,,5.4307.0401,,,,,,,,,,
,,crossbeam for sprocket disk 60x20x162,4.4307.1348,4,19,,5.4307.0401,,,,,,,,,,
,,crossbeam for bearing shaft support 60x20x162,4.4307.1350,4,20,,5.4307.0401,,,,,,,,,,
,,crossbeam for joint 120x20x162,4.4307.1351,2,21,,5.4307.0401,,,,,,,,,,
,,crossbeam for disconnection point 120x20x162,4.4307.2907,2,22,,5.4307.0401,,,,,,,,,,
,,chain guide 24x48x1145,4.4307.2701,1,23,,5.4307.0401,,,,,,,,,,
,,guide angle 25x25x3x1180,4.4307.2484,1,24,,5.4307.0401,,,,,,,,,,
,,guide angle 25x25x3x1181,4.4307.2483,1,25,,5.4307.0401,,,,,,,,,,
,,distance ledge insertion conveyor 40x41x267,4.4307.2216,1,26,,5.4307.0401,,,,,,,,,,
,,distance piece insertion conveyor 40x20x60,4.4307.2217,2,27,,5.4307.0401,,,,,,,,,,
,,cassette guiding curve 27x170x1180,4.4307.2036,1,28,,5.4307.0401,,,,,,,,,,
,,"deflection, drive 179x15x248",4.4307.1334,2,29,,5.4307.0401,,,,,,,,,,
,,distance Ø20x31,4.4307.1331,3,30,,5.4307.0401,,,,,,,,,,
,,crossbeam 20x20x292,4.4307.1336,3,31,,5.4307.0401,,,,,,,,,,
,,crossbeam 40x20x292,4.4307.1341,1,32,,5.4307.0401,,,,,,,,,,
,,crossbeam 20x20x292,4.4307.1342,3,33,,5.4307.0401,,,,,,,,,,
,,crossbeam 40x20x292,4.4307.1337,1,34,,5.4307.0401,,,,,,,,,,
,,washer Ø40 Ø40x5,4.0002.0014,4,35,,5.4307.0401,,,,,,,,,,
,,support chain guide insertion area,4.4307.2303,1,36,,5.4307.0401,,,,,,,,,,
,,chain guide 24x56x1040,4.4307.2243,1,37,,5.4307.0401,,,,,,,,,,
,,chain guide 24x50x320,4.4307.1201,2,38,,5.4307.0401,,,,,,,,,,
,,grooved ball bearing,3.0000.0494,4,100,,5.4307.0401,,,,,,,,,,
,,grooved ball bearing,3.0000.0495,4,101,,5.4307.0401,,,,,,,,,,
,,guard ring,3.0000.4301,4,102,,5.4307.0401,,,,,,,,,,
,,guard ring,3.0000.0172,2,103,,5.4307.0401,,,,,,,,,,
,,guard ring,3.0000.0178,2,104,,5.4307.0401,,,,,,,,,,
,,guard ring,3.0000.4834,2,105,,5.4307.0401,,,,,,,,,,
,,tensioning sprocket,3.0000.1643,4,106,,5.4307.0401,,,,,,,,,,
,,roller chain,3.0000.0738,"4.013,20",107,,5.4307.0401,,,,,,,,,,
,,"connecting link 1/2x5/16""",3.0000.4900,2,108,,5.4307.0401,,,,,,,,,,
,"cassette conveyor central adjustment 10""/L , deflection duplex",profile deflection up 76.5x50x3513,4.4307.3149,2,1,,5.4307.0402,,,,,,,,,,
,,profile deflection bottom 76.5x50x3513,4.4307.3150,2,2,,5.4307.0402,,,,,,,,,,
,,crossbeam for side plate 80x20x162,4.4307.1345,10,3,,5.4307.0402,,,,,,,,,,
,,crossbeam 40x20x292,4.4307.1341,2,4,,5.4307.0402,,,,,,,,,,
,,crossbeam 20x20x292,4.4307.1342,11,5,,5.4307.0402,,,,,,,,,,
,,chain guide 24x48x870,4.4307.2929,1,6,,5.4307.0402,,,,,,,,,,
,,chain guide 24x48x1473,4.4307.3154,1,7,,5.4307.0402,,,,,,,,,,
,,chain guide 24x48x1408,4.4307.2930,1,8,,5.4307.0402,,,,,,,,,,
,,chain guide 24x50x444,4.4307.3148,2,9,,5.4307.0402,,,,,,,,,,
,,"baffle for cassette central adjustment 10"" 35x35x400",4.4307.1093,4,11,,5.4307.0402,,,,,,,,,,
,,chain guide 24x48x1473,4.4307.3153,1,12,,5.4307.0402,,,,,,,,,,
,,chain guide 24x48x1408,4.4307.2925,1,13,,5.4307.0402,,,,,,,,,,
,,chain guide 24x48x2000,4.4307.2264,1,15,,5.4307.0402,,,,,,,,,,
,,chain guide 24x48x2001,4.4307.2263,1,16,,5.4307.0402,,,,,,,,,,
,,chain guide 24x48x870,4.4307.2924,1,17,,5.4307.0402,,,,,,,,,,
,,guide angle 25x25x3x300,4.4307.1339,2,18,,5.4307.0402,,,,,,,,,,
,,guide angle 25x25x3x301,4.4307.1338,2,19,,5.4307.0402,,,,,,,,,,
,,guide angle siehe Zeichn.,4.4307.2910,2,20,,5.4307.0402,,,,,,,,,,
,,"guide angle 25x25x3x2167,5",4.4307.3152,2,21,,5.4307.0402,,,,,,,,,,
,,"guide angle 25x25x3x2167,6",4.4307.3151,2,22,,5.4307.0402,,,,,,,,,,
,,guide angle siehe Zeichn.,4.4307.2911,2,23,,5.4307.0402,,,,,,,,,,
,,"deflection tensioning side siehe
Zeichnung",4.4307.2227,1,24,,5.4307.0402,,,,,,,,,,
,,distance Ø15x19,4.4307.1054,4,25,,5.4307.0402,,,,,,,,,,
,,distance Ø20x31,4.4307.1331,3,26,,5.4307.0402,,,,,,,,,,
,,block 20x20x54,4.4307.2226,4,27,,5.4307.0402,,,,,,,,,,
,,drive shaft deflection Ø28x362,4.4307.2912,1,28,,5.4307.0402,,,,,,,,,,
,,"sprocket disc, insertion unit top, drive I",4.4306.0196,2,29,,5.4307.0402,,,,,,,,,,
,,sprocket disc Ø90x25,4.4307.3051,2,30,,5.4307.0402,,,,,,,,,,
,,sprocket hub Ø120x35,4.4307.2219,2,31,,5.4307.0402,,,,,,,,,,
,,"sprocket disc, insertion unit top, deflection I siehe Zeichn.",4.4306.0194,2,32,,5.4307.0402,,,,,,,,,,
,,"distance sprocket disc Ø40x6,5",4.4307.2350,2,33,,5.4307.0402,,,,,,,,,,
,,tension bearing cassette conveyor 80x80x25,4.4307.2220,2,34,,5.4307.0402,,,,,,,,,,
,,distance ring Ø32x2,4.4307.2221,2,35,,5.4307.0402,,,,,,,,,,
,,pressure piece 120x40x130,4.4307.2771,1,36,,5.4307.0402,,,,,,,,,,
,,adjusting ring deflection Ø50x53,4.4307.2770,1,37,,5.4307.0402,,,,,,,,,,
,,"guide plate for deflection 15x144x478,5",4.4307.2223,2,38,,5.4307.0402,,,,,,,,,,
,,crossbeam 100x20x292,4.4307.3291,1,39,,5.4307.0402,,,,,,,,,,
,,cassette conveyor foot,4.4307.3156,2,40,,5.4307.0402,,,,,,,,,,
,,connection strut 15x15x144,4.4307.2255,2,41,,5.4307.0402,,,,,,,,,,
,,grooved ball bearing 61905-2RS,3.0000.4777,4,100,,5.4307.0402,,,,,,,,,,
,,grooved ball bearing 6008 2RS,3.0000.2182,2,101,,5.4307.0402,,,,,,,,,,
,,ball joint bearing 2205-2RS,3.0000.0475,2,102,,5.4307.0402,,,,,,,,,,
,,guard ring A 25,3.0000.0158,2,103,,5.4307.0402,,,,,,,,,,
,,guard ring I 52,3.0000.4329,2,104,,5.4307.0402,,,,,,,,,,
,,guard ring I 62,3.0000.9340,2,105,,5.4307.0402,,,,,,,,,,
,,guard ring I 42,3.0000.0168,2,106,,5.4307.0402,,,,,,,,,,
,,guard ring A40,3.0000.2187,1,107,,5.4307.0402,,,,,,,,,,
,,fitting key 8x7x36,3.0001.3652,2,108,,5.4307.0402,,,,,,,,,,
,,machine foot type m M 75-16-150,3.0000.0713,4,109,,5.4307.0402,,,,,,,,,,
,"cassette conveyor central adjustment 10""/L, middle part 2","profile, middle part, up 76.5x50x2794",4.4307.3285,2,1,,5.4307.0403,,,,,,,,,,
,,"profile, middle part, bottom 76.5x50x2794",4.4307.3286,2,2,,5.4307.0403,,,,,,,,,,
,,crossbeam 40x20x292,4.4307.1341,2,3,,5.4307.0403,,,,,,,,,,
,,crossbeam 20x20x292,4.4307.1342,14,4,,5.4307.0403,,,,,,,,,,
,,crossbeam for side plate 80x20x162,4.4307.1345,12,5,,5.4307.0403,,,,,,,,,,
,,crossbeam for joint 120x20x162,4.4307.1351,2,6,,5.4307.0403,,,,,,,,,,
,,crossbeam for disconnection point 120x20x162,4.4307.2907,2,7,,5.4307.0403,,,,,,,,,,
,,chain guide 24x48x794,4.4307.3287,2,8,,5.4307.0403,,,,,,,,,,
,,chain guide 24x48x2000,4.4307.2241,4,9,,5.4307.0403,,,,,,,,,,
,,chain guide 24x48x794,4.4307.3288,2,10,,5.4307.0403,,,,,,,,,,
,,guide angle 25x25x3x2794,4.4307.3290,2,11,,5.4307.0403,,,,,,,,,,
,,guide angle 25x25x3x2794,4.4307.3289,2,12,,5.4307.0403,,,,,,,,,,
,,cassette conveyor foot,4.4307.3156,2,13,,5.4307.0403,,,,,,,,,,
,,machine foot type m M 75-16-150,3.0000.0713,4,100,,5.4307.0403,,,,,,,,,,
,"cassette conveyor central adjustment 10""/L, middle part 1","profile, middle part, up 76.5x50x2485",4.4307.2915,2,1,,5.4307.0404,,,,,,,,,,
,,profile deflection bottom 76.5x50x2485,4.4307.2916,2,2,,5.4307.0404,,,,,,,,,,
,,crossbeam 40x20x292,4.4307.1341,2,3,,5.4307.0404,,,,,,,,,,
,,crossbeam 20x20x292,4.4307.1342,10,4,,5.4307.0404,,,,,,,,,,
,,crossbeam for side plate 80x20x162,4.4307.1345,7,5,,5.4307.0404,,,,,,,,,,
,,crossbeam for joint 120x20x162,4.4307.1351,2,7,,5.4307.0404,,,,,,,,,,
,,crossbeam for disconnection point 120x20x162,4.4307.2907,2,8,,5.4307.0404,,,,,,,,,,
,,crossbeam for holder 80x20x162,4.4307.2487,3,9,,5.4307.0404,,,,,,,,,,
,,crossbeam for holder 80x20x162,4.4307.2678,1,10,,5.4307.0404,,,,,,,,,,
,,chain guide 24x48x2000,4.4307.2241,4,11,,5.4307.0404,,,,,,,,,,
,,"chain guide 24x48x685,5",4.4307.2928,1,12,,5.4307.0404,,,,,,,,,,
,,chain guide 24x48x305,4.4307.2919,2,13,,5.4307.0404,,,,,,,,,,
,,"chain guide 24x48x685,5",4.4307.2922,1,14,,5.4307.0404,,,,,,,,,,
,,guide angle 25x25x3x2555,4.4307.2518,2,15,,5.4307.0404,,,,,,,,,,
,,guide angle 25x25x3x2555,4.4307.2519,2,16,,5.4307.0404,,,,,,,,,,
,,cassette conveyor foot,4.4307.3155,1,17,,5.4307.0404,,,,,,,,,,
,,holder cassette conveyor 60x15x71,4.4307.2486,3,18,,5.4307.0404,,,,,,,,,,
,,holder cassette conveyor part 2 50x15x85,4.4307.2680,1,19,,5.4307.0404,,,,,,,,,,
,,holder cassette conveyor 50x15x161,4.4307.2679,1,20,,5.4307.0404,,,,,,,,,,
,,machine foot type m M 75-16-150,3.0000.0713,2,100,,5.4307.0404,,,,,,,,,,
,"cassette 10"" central adjustment / L",cassette base 6x47x339,4.4313.1372,364,1,,5.4313.0355,,,,,,,,,,
,,"angle right, HK right 111x32x3x345",4.4313.1420,91,2,,5.4313.0355,,,,,,,,,,
,,"adjustment angle left, HK left 106,5x9x3x350",4.4313.1421,91,3,,5.4313.0355,,,,,,,,,,
,,"joint piece 48x27,5x69,5",4.4313.0893,91,4,,5.4313.0355,,,,,,,,,,
,,cassette holder 40x15x18,4.4313.0687,728,5,,5.4313.0355,,,,,,,,,,
,,curve roller Ø30x22,4.4313.0005,91,6,,5.4313.0355,,,,,,,,,,
,,"guide shaft Ø12x228,5",4.4313.1330,182,7,,5.4313.0355,,,,,,,,,,
,,"guide, adjusting angle 19,5x15x35",4.4313.0836,91,8,,5.4313.0355,,,,,,,,,,
,,guide holder for adjustment angle 15x15x35,4.4313.0837,91,9,,5.4313.0355,,,,,,,,,,
,,holder for adjusting angle 20x15x35,4.4313.0838,91,10,,5.4313.0355,,,,,,,,,,
,,slide bearing 1212 DU,3.0000.0306,364,100,,5.4313.0355,,,,,,,,,,
,,slide bearing BB 1012 DU,3.0000.0323,91,101,,5.4313.0355,,,,,,,,,,
,,UPS-fitting screw Ø10 M8x16,3.0000.0199,91,102,,5.4313.0355,,,,,,,,,,
,,dowel Ø6x32 hardened,3.0001.0170,182,103,,5.4313.0355,,,,,,,,,,
,"intermediate cassette 10"" HK / L",cassette base intermediate cassette I 49x4x102,4.4313.0733,12,1,,5.4313.0356,,,,,,,,,,
,,cassette base intermediate cassette slanting 6x49x102,4.4313.0851,48,2,,5.4313.0356,,,,,,,,,,
,,"angle intermediate cassette, HK left 89x20x3x113,5",4.4313.1422,12,3,,5.4313.0356,,,,,,,,,,
,,"cassette holder 40x15x18,5",4.4313.0687,120,4,,5.4313.0356,,,,,,,,,,
,"cassette conveyor chain central adjustment 10""",carrier cassette angle,4.4313.0780,182,1,,5.4313.0357,,,,,,,,,,
,,roller chain,3.0001.4900,2,100,,5.4313.0357,,,,,,,,,,
,,chain bolt,3.0001.1095,364,101,,5.4313.0357,,,,,,,,,,
,,"connecting link, 1"" single roller chain",3.0000.0843,4,102,,5.4313.0357,,,,,,,,,,
,,roller chain (duplex),3.0001.4901,2,103,,5.4313.0357,,,,,,,,,,
