NAMA MESIN,KATEGORI,DESCRIPTION SPAREPART,PART NUMBER,QTY,NO. IN MANUAL BOOK,KATEGORI,DOCUMENT,SUPPLIER,NAMA,KONTAK,EMAIL,ALAMAT,,,,,
,,SPRING WASHER 8 DIA,MF-WS-8DIA-SS,2,15,,102-772-E,,,,,,,,,,
,,PROBE ASSEMBLY,106-604,1,1,,107-650-B,,,,,,,,,,
,,HOPPER KIT,106-993,1,2,,107-650-B,,,,,,,,,,
,,COVERS KIT,105-390,1,3,,107-650-B,,,,,,,,,,
,,EXTERNAL AIR FITTINGS ASSEMBLY,104-109,1,4,,107-650-B,,,,,,,,,,
,,FAB: FRAME ASSEMBLY (S13),108-596,1,1,,108-595-A,,,,,,,,,,
,,ASSY: PROXIMITY SENSOR,106-969,1,2,,108-595-A,,,,,,,,,,
,,EARTH SPRING ASSEMBLY,103-673,1,3,,108-595-A,,,,,,,,,,
,,EARTH SPRING ASSEMBLY,103-715,1,4,,108-595-A,,,,,,,,,,
,,SETSCREW M8X12LG ST STL,MF-SS-M8X12-SS,2,5,,108-595-A,,,,,,,,,,
,,SPRING WASHER 8 DIA,MF-WS-8DIA-SS,2,6,,108-595-A,,,,,,,,,,
,,ASSY: RHS FRAME (S13),108-595,1,1,,13502-064-A,,,,,,,,,,
,,ASSY: GEN 480 HOPPER BFM,107-650,1,2,,13502-064-A,,,,,,,,,,
,,DUMP VALVE ASSEMBLY,102-772,1,3,,13502-064-A,,,,,,,,,,
,,BULKHEAD ASSEMBLY - 12/8/6,107-877,1,4,,13502-064-A,,,,,,,,,,
,10_Ctrls BOM,Rittal 500x500x210 enclosure,AE1007.600,1,1,,1414475 BOM,,,,,,,,,,
,,Workshop Labels,Labels,1,2,,1414475 BOM,,,,,,,,,,
,,Allen Bradley Isolator,AB194E-A16-1753,1,3,,1414475 BOM,,,,,,,,,,
,,Allen Bradley Extension shaft,AB194E-G3675,1,4,,1414475 BOM,,,,,,,,,,
,,Allen Bradley Extension shaft,AB194R-S1,1,5,,1414475 BOM,,,,,,,,,,
,,Allen Bradley Handle,AB194R-PY,1,6,,1414475 BOM,,,,,,,,,,
,,Allen Bradley Earth link,AB194E-A16-PE,1,7,,1414475 BOM,,,,,,,,,,
,,Allen Bradley Neutral link,AB194E-A16-TN,1,8,,1414475 BOM,,,,,,,,,,
,,Merlin Gerin 2A Circuit Breaker,C60HD102,1,9,,1414475 BOM,,,,,,,,,,
,,Merlin Gerin 2A Circuit Breaker,C60HC102,1,10,,1414475 BOM,,,,,,,,,,
,,PULS Power Supply,ML50.100,1,11,,1414475 BOM,,,,,,,,,,
,,telemec White Led Body,ZB4-BVB1,1,12,,1414475 BOM,,,,,,,,,,
,,telemec White Lens,ZB4-BV013,1,13,,1414475 BOM,,,,,,,,,,
,,Merlin Gerin 1A Circuit Breaker,C60HC101,1,14,,1414475 BOM,,,,,,,,,,
,,telemec Three position switch,ZB4-BD3,1,15,,1414475 BOM,,,,,,,,,,
,,telemec 2 x N/O Contact,ZB4-BZ103,1,16,,1414475 BOM,,,,,,,,,,
,,telemec two postition switch,ZB4-BD2,1,19,,1414475 BOM,,,,,,,,,,
,,telemec N/O Contact,ZB4-BZ101,1,20,,1414475 BOM,,,,,,,,,,
